_id,company_name,salary,url,vacancies_name
https://hh.ru/vacancy/69862083?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,EGGНEADS,"{'от': 150000, 'до': None, 'валюта': 'руб.'}",https://hh.ru/vacancy/69862083?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Product manager / Product Owner (удалённо)
https://hh.ru/vacancy/69866026?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООHeadHunter::Product Management,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69866026?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Менеджер продуктов DS/ML
https://hh.ru/vacancy/69874433?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,БКС Бизнес и процессы,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69874433?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Investment banking analyst (IBD Analyst)
https://hh.ru/vacancy/69882715?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Unilever,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69882715?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Инженер данных / Data engineer
https://hh.ru/vacancy/69100666?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООПЕТЕР-СЕРВИС Спецтехнологии,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69100666?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Senior/ Middle+ Java разработчик
https://hh.ru/vacancy/69948664?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООAxenix (ранее Accenture),"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69948664?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Руководитель проектов (SAP Hybris)
https://hh.ru/vacancy/69982109?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,CityAds Media,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69982109?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Junior Affiliate Manager
https://hh.ru/vacancy/68352726?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,"VK, Одноклассники","{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/68352726?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Инженер по машинному обучению (Продуктовая безопасность)
https://hh.ru/vacancy/69961206?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ПАОМТС Банк. IT,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69961206?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Старший аналитик АБС ЦФТ
https://hh.ru/vacancy/69980676?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Яндекс,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69980676?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Corporate Development and M&A Senior Analyst
https://hh.ru/vacancy/55193451?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Ozon Информационные технологии,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/55193451?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Руководитель отдела разработки хранилища данных
https://hh.ru/vacancy/69947403?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,SberAutoTech,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69947403?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,"Middle Data Analyst (Prediction, Autonomous Driving)"
